Level 2: Skill to upgrade: Skill(name='Raven', prerequisites=[], required_level=1, base_level=1)
Level 3: Skill to upgrade: Skill(name='Poison Creeper', prerequisites=[], required_level=1, base_level=1)
Level 4: Skill to upgrade: Skill(name='Raven', prerequisites=[], required_level=1, base_level=2)
Level 5: Skill to upgrade: Skill(name='Firestorm', prerequisites=[], required_level=1, base_level=1)
Level 6: Skill to upgrade: Skill(name='Werebear', prerequisites=[], required_level=6, base_level=1)
Level 7: Skill to upgrade: Skill(name='Firestorm', prerequisites=[], required_level=1, base_level=2)
Level 8: Skill to upgrade: Skill(name='Werebear', prerequisites=[], required_level=6, base_level=2)
Level 9: Skill to upgrade: Skill(name='Arctic Blast', prerequisites=[], required_level=6, base_level=1)
Level 10: Skill to upgrade: Skill(name='Werewolf', prerequisites=[], required_level=1, base_level=1)
Level 11: Skill to upgrade: Skill(name='Werewolf', prerequisites=[], required_level=1, base_level=2)
Level 12: Skill to upgrade: Skill(name='Feral Rage', prerequisites=['Werewolf'], required_level=12, base_level=1)
Level 13: Skill to upgrade: Skill(name='Lycanthropy', prerequisites=['Werewolf'], required_level=1, base_level=1)
Level 14: Skill to upgrade: Skill(name='Feral Rage', prerequisites=['Werewolf'], required_level=12, base_level=2)
Level 15: Skill to upgrade: Skill(name='Molten Boulder', prerequisites=['Firestorm'], required_level=6, base_level=1)
Level 16: Skill to upgrade: Skill(name='Maul', prerequisites=['Werebear'], required_level=12, base_level=1)
Level 17: Skill to upgrade: Skill(name='Carrion Vine', prerequisites=['Poison Creeper'], required_level=12, base_level=1)
Level 18: Skill to upgrade: Skill(name='Werewolf', prerequisites=[], required_level=1, base_level=3)
Level 19: Skill to upgrade: Skill(name='Raven', prerequisites=[], required_level=1, base_level=3)
Level 20: Skill to upgrade: Skill(name='Werebear', prerequisites=[], required_level=6, base_level=3)
Level 21: Skill to upgrade: Skill(name='Firestorm', prerequisites=[], required_level=1, base_level=3)
Level 22: Skill to upgrade: Skill(name='Rabies', prerequisites=['Feral Rage'], required_level=18, base_level=1)
Level 23: Skill to upgrade: Skill(name='Feral Rage', prerequisites=['Werewolf'], required_level=12, base_level=3)
Level 24: Skill to upgrade: Skill(name='Werebear', prerequisites=[], required_level=6, base_level=4)
Level 25: Skill to upgrade: Skill(name='Fire Claws', prerequisites=['Feral Rage', 'Maul'], required_level=18, base_level=1)
Level 26: Skill to upgrade: Skill(name='Molten Boulder', prerequisites=['Firestorm'], required_level=6, base_level=2)
Level 27: Skill to upgrade: Skill(name='Rabies', prerequisites=['Feral Rage'], required_level=18, base_level=2)
Level 28: Skill to upgrade: Skill(name='Carrion Vine', prerequisites=['Poison Creeper'], required_level=12, base_level=2)
Level 29: Skill to upgrade: Skill(name='Werewolf', prerequisites=[], required_level=1, base_level=4)
Level 30: Skill to upgrade: Skill(name='Arctic Blast', prerequisites=[], required_level=6, base_level=2)
Level 31: Skill to upgrade: Skill(name='Arctic Blast', prerequisites=[], required_level=6, base_level=3)
Level 32: Skill to upgrade: Skill(name='Lycanthropy', prerequisites=['Werewolf'], required_level=1, base_level=2)
Level 33: Skill to upgrade: Skill(name='Hunger', prerequisites=['Fire Claws'], required_level=24, base_level=1)
Level 34: Skill to upgrade: Skill(name='Summon Spirit Wolf', prerequisites=['Raven'], required_level=6, base_level=1)
Level 35: Skill to upgrade: Skill(name='Arctic Blast', prerequisites=[], required_level=6, base_level=4)
Level 36: Skill to upgrade: Skill(name='Lycanthropy', prerequisites=['Werewolf'], required_level=1, base_level=3)
Level 37: Skill to upgrade: Skill(name='Werewolf', prerequisites=[], required_level=1, base_level=5)
Level 38: Skill to upgrade: Skill(name='Maul', prerequisites=['Werebear'], required_level=12, base_level=2)
Level 39: Skill to upgrade: Skill(name='Maul', prerequisites=['Werebear'], required_level=12, base_level=3)
Level 40: Skill to upgrade: Skill(name='Molten Boulder', prerequisites=['Firestorm'], required_level=6, base_level=3)
Level 41: Skill to upgrade: Skill(name='Werebear', prerequisites=[], required_level=6, base_level=5)
Level 42: Skill to upgrade: Skill(name='Fissure', prerequisites=['Molten Boulder'], required_level=12, base_level=1)
Level 43: Skill to upgrade: Skill(name='Fissure', prerequisites=['Molten Boulder'], required_level=12, base_level=2)
Level 44: Skill to upgrade: Skill(name='Summon Spirit Wolf', prerequisites=['Raven'], required_level=6, base_level=2)
Level 45: Skill to upgrade: Skill(name='Fury', prerequisites=['Rabies'], required_level=30, base_level=1)
Level 46: Skill to upgrade: Skill(name='Werebear', prerequisites=[], required_level=6, base_level=6)
Level 47: Skill to upgrade: Skill(name='Solar Creeper', prerequisites=['Carrion Vine'], required_level=24, base_level=1)
Level 48: Skill to upgrade: Skill(name='Molten Boulder', prerequisites=['Firestorm'], required_level=6, base_level=4)
Level 49: Skill to upgrade: Skill(name='Arctic Blast', prerequisites=[], required_level=6, base_level=5)
Level 50: Skill to upgrade: Skill(name='Fissure', prerequisites=['Molten Boulder'], required_level=12, base_level=3)
Level 51: Skill to upgrade: Skill(name='Werebear', prerequisites=[], required_level=6, base_level=7)
Level 52: Skill to upgrade: Skill(name='Carrion Vine', prerequisites=['Poison Creeper'], required_level=12, base_level=3)
Level 53: Skill to upgrade: Skill(name='Arctic Blast', prerequisites=[], required_level=6, base_level=6)
Level 54: Skill to upgrade: Skill(name='Oak Sage', prerequisites=[], required_level=6, base_level=1)
Level 55: Skill to upgrade: Skill(name='Fire Claws', prerequisites=['Feral Rage', 'Maul'], required_level=18, base_level=2)
Level 56: Skill to upgrade: Skill(name='Werebear', prerequisites=[], required_level=6, base_level=8)
Level 57: Skill to upgrade: Skill(name='Feral Rage', prerequisites=['Werewolf'], required_level=12, base_level=4)
Level 58: Skill to upgrade: Skill(name='Cyclone Armor', prerequisites=['Arctic Blast'], required_level=12, base_level=1)
Level 59: Skill to upgrade: Skill(name='Werewolf', prerequisites=[], required_level=1, base_level=6)
Level 60: Skill to upgrade: Skill(name='Poison Creeper', prerequisites=[], required_level=1, base_level=2)
Level 61: Skill to upgrade: Skill(name='Summon Dire Wolf', prerequisites=['Oak Sage', 'Summon Spirit Wolf'], required_level=18, base_level=1)
Level 62: Skill to upgrade: Skill(name='Heart of Wolverine', prerequisites=['Oak Sage'], required_level=18, base_level=1)
Level 63: Skill to upgrade: Skill(name='Werebear', prerequisites=[], required_level=6, base_level=9)
Level 64: Skill to upgrade: Skill(name='Arctic Blast', prerequisites=[], required_level=6, base_level=7)
Level 65: Skill to upgrade: Skill(name='Summon Dire Wolf', prerequisites=['Oak Sage', 'Summon Spirit Wolf'], required_level=18, base_level=2)
Level 66: Skill to upgrade: Skill(name='Shock Wave', prerequisites=['Maul'], required_level=24, base_level=1)
Level 67: Skill to upgrade: Skill(name='Raven', prerequisites=[], required_level=1, base_level=4)
Level 68: Skill to upgrade: Skill(name='Werebear', prerequisites=[], required_level=6, base_level=10)
Level 69: Skill to upgrade: Skill(name='Fissure', prerequisites=['Molten Boulder'], required_level=12, base_level=4)
Level 70: Skill to upgrade: Skill(name='Summon Spirit Wolf', prerequisites=['Raven'], required_level=6, base_level=3)
Level 71: Skill to upgrade: Skill(name='Tornado', prerequisites=['Cyclone Armor'], required_level=24, base_level=1)
Level 72: Skill to upgrade: Skill(name='Volcano', prerequisites=['Fissure'], required_level=24, base_level=1)
Level 73: Skill to upgrade: Skill(name='Lycanthropy', prerequisites=['Werewolf'], required_level=1, base_level=4)
Level 74: Skill to upgrade: Skill(name='Maul', prerequisites=['Werebear'], required_level=12, base_level=4)
Level 75: Skill to upgrade: Skill(name='Solar Creeper', prerequisites=['Carrion Vine'], required_level=24, base_level=2)
Level 76: Skill to upgrade: Skill(name='Heart of Wolverine', prerequisites=['Oak Sage'], required_level=18, base_level=2)
Level 77: Skill to upgrade: Skill(name='Poison Creeper', prerequisites=[], required_level=1, base_level=3)
Level 78: Skill to upgrade: Skill(name='Carrion Vine', prerequisites=['Poison Creeper'], required_level=12, base_level=4)
Level 79: Skill to upgrade: Skill(name='Arctic Blast', prerequisites=[], required_level=6, base_level=8)
